,Screen_name,UserID,TweetID,Coords,Lat,Lon,Created_At,Text,Labels
0,madikeeper12,868809325,779072240994234368,"[43.72666207, 10.41268069]",43.72666207,10.41268069,Thu Sep 22 21:37:51 +0000 2016,"Cieli infuocati.

#picoftheday #quotesoftheday #instacool #instagram #instagood #instaday… https://t.co/IlXB81fES6",0
1,madikeeper12,868809325,781615843406819329,"[43.72666207, 10.41268069]",43.72666207,10.41268069,Thu Sep 29 22:05:13 +0000 2016,"Prospettive.. 
unite a casa #ilselfone
#team #hockey #cuspisahockey #fielhockey #cuspisa… https://t.co/kCdRZa1DSH",0
2,madikeeper12,868809325,781870800156499968,"[43.72666207, 10.41268069]",43.72666207,10.41268069,Fri Sep 30 14:58:19 +0000 2016,"Non occorre essere matti per lavorare qui, ma aiuta.
#workout #abs #absworkout #sixpack… https://t.co/pXFoWb5V0s",0
3,madikeeper12,868809325,780003801260404736,"[43.7167, 10.3833]",43.7167,10.3833,Sun Sep 25 11:19:32 +0000 2016,"RunOnSunDay 🏃🏽‍♀️☀️
#run #running #runner #nikerunning #cityrun #fitness #fitnessgirl #fitgirl… https://t.co/FnNqps0eEH",1
4,madikeeper12,868809325,779443101123260417,"[43.70561, 10.42059]",43.70561,10.420589999999999,Fri Sep 23 22:11:31 +0000 2016,"La vita è come la fotografia sono necessari i negativi per lo sviluppo📷📸
#nofilters #iphonesia… https://t.co/exUdFKimbJ",2
5,TweetsByRyland,23409081,781978045909467137,"[43.72305556, 10.39641667]",43.72305556,10.39641667,Fri Sep 30 22:04:29 +0000 2016,"Kind of corny, but I had to hold up the leaning tower. :-) #Pisa #Italia #Italy #Backpacking… https://t.co/DFWQBM74qe",3
6,CMackHoops,312307739,782682780283142144,"[43.72305556, 10.39641667]",43.72305556,10.39641667,Sun Oct 02 20:44:51 +0000 2016,"I did my part to support the Leaning Tower of Pisa! 
#Handstand #LeaningTowerofPisa #Pisa #Italy… https://t.co/oJCK7Xki38",3
7,ashleybear52,1943457487,779672133752545281,"[43.72075, 10.39694]",43.72075,10.396939999999999,Sat Sep 24 13:21:36 +0000 2016,Pizza in Pisa 🍕🍕 What leaning tower?? We here for the food 💑🐽💃🏻🙋🏻‍♂️ #stracciatella #sogoodicry… https://t.co/ZcoCCCbiaw,3
8,ashleybear52,1943457487,779705855428161536,"[43.72305556, 10.39641667]",43.72305556,10.39641667,Sat Sep 24 15:35:36 +0000 2016,"So by ""leaning"" you mean slightly barely off center... 🤔 #butthatpizzatho @ Leaning Tower of Pisa https://t.co/zd6pKm2994",3
9,ashleybear52,1943457487,779737951886536704,"[43.71641, 10.40231]",43.716409999999996,10.40231,Sat Sep 24 17:43:09 +0000 2016,"""When in Rome"" has turned into ""when not in L.A."" 😬 #hehe #jkinLAtoo #foodart #gelato @ LA… https://t.co/T3M6Mm6e5v",4
10,MarielenaP,50035868,781485704467525632,"[43.72305556, 10.39641667]",43.72305556,10.39641667,Thu Sep 29 13:28:05 +0000 2016,#torrepisa #pisatower #Tuscany #toscana #SeCae #summer2016 #descubriendoitalia #ioamoitalia… https://t.co/r8Io6Zmqez,3
11,Mr_R1cardo,84700758,780018942416920576,"[43.7215, 10.3961]",43.7215,10.3961,Sun Sep 25 12:19:42 +0000 2016,"Bottle, light Italian lager. Missing the maltiness of the dr... (Birra Moretti Baffo d'Oro) https://t.co/cAkxBWetJi #photo",3
12,Mr_R1cardo,84700758,780488311295049728,"[43.7162, 10.4021]",43.7162,10.4021,Mon Sep 26 19:24:48 +0000 2016,Italians like their red lagers and so do I. Lovely. - Drinking a Leffe Rouge by @Leffe @ Bazeel  — https://t.co/sha5Smvnsk #photo,4
13,ErsenTArt,2782120562,782192500421320704,"[43.7167, 10.3833]",43.7167,10.3833,Sat Oct 01 12:16:39 +0000 2016,"Pisa #Pisa #Italy #travel #leaningtowerofpisa @ Pisa, Italy https://t.co/HuDhZEXGYl",1
14,Mattar79,67786279,783022414187880449,"[43.72040817, 10.39710583]",43.72040817,10.39710583,Mon Oct 03 19:14:26 +0000 2016,"Seguimos el periplo por este país (@ Pisa in Pisa, PI) https://t.co/tcMTUpBa1P",3
15,ParallelRae,264129105,782514417976086528,"[43.72305556, 10.39641667]",43.72305556,10.39641667,Sun Oct 02 09:35:50 +0000 2016,It wasn't leaning very much :-/ @ Leaning Tower of Pisa https://t.co/UOZSuEGa6P,3
16,plutoniummuffin,420237417,780734504566681600,"[43.72305556, 10.39641667]",43.72305556,10.39641667,Tue Sep 27 11:43:05 +0000 2016,"Go home tower, you're drunk! #leaningtower #pisa #italy #leaningtowerofpisa #tower #architecture… https://t.co/hcB72ayZe5",3
17,plutoniummuffin,420237417,780790854747295745,"[43.71818383, 10.40229555]",43.71818383,10.40229555,Tue Sep 27 15:27:00 +0000 2016,The theory that you buy #yarn in the colours you're wearing somehow rings true even when I'm… https://t.co/ftAM0bYE3R,4
18,plutoniummuffin,420237417,780030053442723840,"[43.71656, 10.40238]",43.71656,10.40238,Sun Sep 25 13:03:51 +0000 2016,Chilling in Piazza Garibaldi 😊 #italy #pisa #travelling #art #statue @ Piazza Garibaldi https://t.co/hpkUiWCGp6,4
19,plutoniummuffin,420237417,780135723420700672,"[43.71779, 10.40178]",43.71779,10.40178,Sun Sep 25 20:03:45 +0000 2016,I found a place that does pizza with chips on it in Pisa. I can now legitimately cook this at… https://t.co/yB2hqtt11a,4
20,Vygotskij,76134254,780261120703684610,"[43.7167, 10.3833]",43.7167,10.3833,Mon Sep 26 04:22:02 +0000 2016,"Red balloon on the Wall #graffiti #murales #citywalls #redballoon #k #onthewall @ Pisa, Italy https://t.co/BhjWIkiSYb",1
21,MicheleGaddi94,731850098435620864,779041321851969536,"[43.7225109, 10.3960052]",43.7225109,10.3960052,Thu Sep 22 19:34:59 +0000 2016,"Non c'è nulla da aggiungere, dice tutto la Musica. #Bach… https://t.co/xbA1CrUEjy",3
22,MicheleGaddi94,731850098435620864,779094619367804928,"[43.7225109, 10.3960052]",43.7225109,10.3960052,Thu Sep 22 23:06:46 +0000 2016,"Matthaus-Passion, Johan Sebastian Bach #SirJohnEliotGardiner… https://t.co/lB0rZJ8NTJ",3
23,jhuelga,137885037,781097252450291712,"[43.72305556, 10.39641667]",43.72305556,10.39641667,Wed Sep 28 11:44:31 +0000 2016,Here in Pisa #pisa #italy #travel #holidays #amazing @ Leaning Tower of Pisa https://t.co/BNmzJFz4Gn,3
24,sifumalacarne,195343170,780757593685753856,"[43.7167, 10.3833]",43.7167,10.3833,Tue Sep 27 13:14:50 +0000 2016,"Me &amp; Amang 

#MartialArtsItaly #Pisa #ArtiMarziali #SiFuGiorgio #autodifesa #Settembre #stick… https://t.co/PkgMq7Hm9F",1
25,sifumalacarne,195343170,782142978978525184,"[43.7167, 10.3833]",43.7167,10.3833,Sat Oct 01 08:59:52 +0000 2016,"-&gt; Wing Chun New Generation &lt;-

              Sai difenderti ?
              Sai attaccare ?… https://t.co/iJ1ROQK4iw",1
26,sifumalacarne,195343170,779087867108691968,"[43.7167, 10.3833]",43.7167,10.3833,Thu Sep 22 22:39:56 +0000 2016,"frequenti già un corso di Difesa Personale ?
Ottimo, e come fai a sapere se quello che ti… https://t.co/OPGigD9HJL",1
27,ElyPardy,361139053,779763930843537409,"[43.71502502, 10.41033667]",43.71502502,10.41033667,Sat Sep 24 19:26:23 +0000 2016,#GEP2016 😍😍😍 #Pisa 💖 @ Museo Nazionale di San Matteo https://t.co/DcdH8yfZNP,-1
28,ericrosbh,214174846,782222431008202752,"[43.72305556, 10.39641667]",43.72305556,10.39641667,Sat Oct 01 14:15:35 +0000 2016,"Demasiada gente intentando aguantarla, imitándose unos a otros. Yo me inclino por un simple… https://t.co/5uqWhRs4Og",3
29,maca_gabi,564698775,781232628804575232,"[43.72263, 10.3948]",43.72263,10.3948,Wed Sep 28 20:42:27 +0000 2016,Hello little thing! #pisa #iwanttomakememoriesallovertheworld #tourists #italy @ Torre di Pisa https://t.co/txdHQG54Gt,3
30,passaretta,377412149,782197883995099136,"[43.7167, 10.3833]",43.7167,10.3833,Sat Oct 01 12:38:02 +0000 2016,"#lesbocces #bellezza #pisa #travellingwithrosy @ Pisa, Italy https://t.co/RoI9zQZXZl",1
31,harrievanhout33,265601089,782442633742389248,"[43.69854949, 10.40007198]",43.69854949,10.40007198,Sun Oct 02 04:50:35 +0000 2016,Early morning flight back home after the great wedding of… https://t.co/8xuktl77tT,5
32,minie_0,102062879,782956572888543234,"[43.72305556, 10.39641667]",43.72305556,10.39641667,Mon Oct 03 14:52:48 +0000 2016,#pisa 不能免俗地… @ Leaning Tower of Pisa https://t.co/Cc1WrzstGg,3
33,minie_0,102062879,782956727389913088,"[43.72305556, 10.39641667]",43.72305556,10.39641667,Mon Oct 03 14:53:25 +0000 2016,#pisa @ Leaning Tower of Pisa https://t.co/DpXUpZcK7Z,3
34,minie_0,102062879,782956887650078724,"[43.7225109, 10.3960052]",43.7225109,10.3960052,Mon Oct 03 14:54:03 +0000 2016,"#pisa @ Piazza Dei Miracoli, Pisa https://t.co/0KKKb351wT",3
35,minie_0,102062879,782957054302355456,"[43.7225109, 10.3960052]",43.7225109,10.3960052,Mon Oct 03 14:54:43 +0000 2016,"#pisa @ Piazza Dei Miracoli, Pisa https://t.co/aB2jLkwzyh",3
36,minie_0,102062879,782957306375868416,"[43.7167, 10.3833]",43.7167,10.3833,Mon Oct 03 14:55:43 +0000 2016,"#pisa @ Pisa, Italy https://t.co/jD1UANAKUq",1
37,minie_0,102062879,782957719317680128,"[43.7167, 10.3833]",43.7167,10.3833,Mon Oct 03 14:57:21 +0000 2016,"#pisa @ Pisa, Italy https://t.co/19kFksdfQa",1
38,minie_0,102062879,782958120012099584,"[43.7167, 10.3833]",43.7167,10.3833,Mon Oct 03 14:58:57 +0000 2016,"#pisa @ Pisa, Italy https://t.co/OS6eSuh7us",1
39,minie_0,102062879,782958310215421955,"[43.7167, 10.3833]",43.7167,10.3833,Mon Oct 03 14:59:42 +0000 2016,"#pisa @ Pisa, Italy https://t.co/E4R1gDpj4f",1
40,minie_0,102062879,782958555745783808,"[43.7167, 10.3833]",43.7167,10.3833,Mon Oct 03 15:00:41 +0000 2016,"#pisa @ Pisa, Italy https://t.co/hldwppCrMv",1
41,minie_0,102062879,782965352078581761,"[43.71786234, 10.40216979]",43.71786234,10.40216979,Mon Oct 03 15:27:41 +0000 2016,#Pisa @ Pisa Centro https://t.co/zMK1bVgOfG,4
42,minie_0,102062879,782973946928828416,"[43.71786234, 10.40216979]",43.71786234,10.40216979,Mon Oct 03 16:01:50 +0000 2016,#pisa @ Pisa Centro https://t.co/kKiu48TqiQ,4
43,minie_0,102062879,782975407859507200,"[43.71786234, 10.40216979]",43.71786234,10.40216979,Mon Oct 03 16:07:38 +0000 2016,#pisa @ Pisa Centro https://t.co/RZO2JW9MM0,4
44,minie_0,102062879,782988871680176128,"[43.71786234, 10.40216979]",43.71786234,10.40216979,Mon Oct 03 17:01:08 +0000 2016,#pisa finally see some fresh vegetables @ Pisa Centro https://t.co/GkEEZpHUs2,4
45,minie_0,102062879,782988974407098368,"[43.71786234, 10.40216979]",43.71786234,10.40216979,Mon Oct 03 17:01:33 +0000 2016,#pisa @ Pisa Centro https://t.co/Ze4EV7LRKm,4
46,minie_0,102062879,782989089624633344,"[43.71786234, 10.40216979]",43.71786234,10.40216979,Mon Oct 03 17:02:00 +0000 2016,#pisa @ Pisa Centro https://t.co/qHCeFDcEd6,4
47,minie_0,102062879,783010486891651072,"[43.7225109, 10.3960052]",43.7225109,10.3960052,Mon Oct 03 18:27:02 +0000 2016,"#pisa #food 好吃的拍不清的pasta！ @ Piazza Dei Miracoli, Pisa https://t.co/ynG2XgQqfZ",3
48,minie_0,102062879,783010751174676480,"[43.7167, 10.3833]",43.7167,10.3833,Mon Oct 03 18:28:05 +0000 2016,"#pisa #food 在比萨吃披萨 @ Pisa, Italy https://t.co/aPMUMgRMfW",1
49,DeliberateFare,721086549698326528,779138503347175424,"[43.7167, 10.3833]",43.7167,10.3833,Fri Sep 23 02:01:09 +0000 2016,"Yesterday's Apple Stack leaning tower of pea-sa for my Mr. Wonderful. Apples, natural peanut… https://t.co/vjKtDpOlCJ",1
50,diggino,835456226,782907336990060544,"[43.71465567, 10.40425728]",43.71465567,10.40425728,Mon Oct 03 11:37:09 +0000 2016,"Tramonto sul lungarno

#Pisa #lungarno #sunset #house #building #clouds #sky #Arno #river… https://t.co/4bdei6mOXA",6
51,gabrielflorin2,428494438,781010857006358528,"[43.72305556, 10.39641667]",43.72305556,10.39641667,Wed Sep 28 06:01:13 +0000 2016,Just posted a photo @ Tour de Pise https://t.co/CtYRm2pTbj,3
52,gabrielflorin2,428494438,781011044181413888,"[43.7225109, 10.3960052]",43.7225109,10.3960052,Wed Sep 28 06:01:58 +0000 2016,"Just posted a photo @ Piazza Dei Miracoli, Pisa https://t.co/ViAUf1Jsk1",3
53,gabrielflorin2,428494438,779767157907394560,"[43.72263, 10.39478]",43.72263,10.39478,Sat Sep 24 19:39:12 +0000 2016,Just posted a photo @ Torre di Pisa - Leaning Tower https://t.co/NNRenFKaOc,3
54,gabrielflorin2,428494438,779767272508358658,"[43.72305556, 10.39641667]",43.72305556,10.39641667,Sat Sep 24 19:39:39 +0000 2016,Just posted a photo @ Torre de Pisa https://t.co/pSMWW85yNp,3
